year,Off the Wall,Thriller,Bad,Dangerous,HIStory,Invincible
1979,1,—,—,—,—,—
1980,4,—,—,—,—,—
1981,6,—,—,—,—,—
1982,7,2,—,—,—,—
1983,8,21,—,—,—,—
1984,9,37,—,—,—,—
1985,10,39,—,—,—,—
1986,11,40,—,—,—,—
1987,12,42,8,—,—,—
1988,13,44,20,—,—,—
1989,14,45,28,—,—,—
1990,15,46,30,—,—,—
1991,16,48,32,4,—,—
1992,17,49,33,15,—,—
1993,18,50,34,26,—,—
1994,19,51,"34,5",28,—,—
1995,"19,5",52,35,29,6,—
1996,20,53,"35,2",30,14,—
1997,"20,2",54,"35,3","30,5",18,—
1998,"20,3",55,"35,4",31,20,—
1999,"20,4",56,"35,4","31,2",21,—
2000,"20,5",57,"35,4","31,5","21,5",—
2001,"20,6",58,"35,4","31,7",22,3
2002,"20,7",59,"35,4","31,8","22,1",6
2003,"20,8",60,"35,4","31,9","22,2",8
2004,"20,9",61,"35,4",32,"22,3",9
2005,21,62,"35,4",32,"22,4","9,5"
2006,21,"62,5","35,4",32,"22,5","9,7"
2007,"21,1",63,"35,4",32,"22,6","9,9"
2008,"21,2","63,5","35,4",32,"22,7",10
2009,"21,5",66,"35,5",32,"22,8","10,5"
2010,"21,6",67,"35,5",32,"22,8",11
2011,"21,6","67,5","35,5",32,"22,9","11,5"
2012,"21,7",68,"35,5",32,"22,9",12
2013,"21,7","68,5","35,5",32,"22,9","12,2"
2014,"21,8",69,"35,5",32,"22,9","12,4"
2015,"21,8","69,5","35,5",32,"22,9","12,6"
2016,"21,9",70,"35,5",32,"22,9","12,8"
2017,"21,9","70,5","35,5",32,23,"12,9"
2018,"21,9",71,"35,5",32,23,13
2019,22,"71,5","35,5",32,23,13
2020,22,72,"35,5",32,23,13
2021,22,"72,5","35,5",32,23,13
2022,22,73,"35,5",32,23,13
2023,22,"73,5","35,5",32,23,13
2024,22,74,"35,5",32,23,13
2025,22,"74,5","35,5",32,23,13
