album_id,album,album_year,tracks,album_sales_mi,album_grammys,album_weeks_no1_bb200,single,single_year,genre,duration_min,peak_us,peak_uk,weeks_chart_us,has_video,award
1,Off the Wall,1979,10,20,1,1,Don't Stop 'Til You Get Enough,1979,Disco/Soul,"3,62",1,3,24,Sim,Grammy Melhor R&B
1,Off the Wall,1979,10,20,1,1,Rock with You,1980,Disco/Soul,"3,65",1,7,24,Sim,—
1,Off the Wall,1979,10,20,1,1,She's Out of My Life,1980,Soft Rock/Pop,"3,35",10,3,18,Sim,—
2,Thriller,1982,9,70,8,37,The Girl Is Mine,1982,Pop/R&B,"3,42",2,8,21,Sim,—
2,Thriller,1982,9,70,8,37,Billie Jean,1983,Funk/Pop,"4,98",1,1,25,Sim,1º clipe negro MTV heavy rotation
2,Thriller,1982,9,70,8,37,Beat It,1983,Hard Rock/Pop,"4,18",1,3,22,Sim,MTV VMA
2,Thriller,1982,9,70,8,37,Wanna Be Startin' Somethin',1983,Afrobeat/Pop,"6,03",5,8,18,Sim,—
2,Thriller,1982,9,70,8,37,Human Nature,1983,Soft Rock/Pop,"4,33",7,—,16,Não,—
2,Thriller,1982,9,70,8,37,P.Y.T.,1983,Pop/Funk,"3,98",10,—,14,Não,—
2,Thriller,1982,9,70,8,37,Thriller,1984,Pop/R&B,"5,57",4,10,16,Sim,Maior clipe da história
3,Bad,1987,11,35,0,6,I Just Can't Stop Loving You,1987,Pop/R&B,"4,12",1,1,16,Sim,—
3,Bad,1987,11,35,0,6,Bad,1987,New Jack Swing,"4,07",1,3,18,Sim,Grammy Melhor Clipe
3,Bad,1987,11,35,0,6,The Way You Make Me Feel,1988,New Jack Swing,"4,97",1,3,18,Sim,—
3,Bad,1987,11,35,0,6,Man in the Mirror,1988,Gospel/Pop,"5,18",1,21,18,Sim,Grammy Melhor Clipe
3,Bad,1987,11,35,0,6,Dirty Diana,1988,Hard Rock/Pop,"4,43",1,4,16,Sim,—
3,Bad,1987,11,35,0,6,Smooth Criminal,1988,Pop/Funk,"4,32",7,8,14,Sim,—
4,Dangerous,1991,14,32,0,4,Black or White,1991,New Jack Swing,"4,15",1,1,19,Sim,MTV VMA / Estreou 27 países
4,Dangerous,1991,14,32,0,4,Remember the Time,1992,New Jack Swing,"4,03",3,3,16,Sim,MTV VMA Melhor Coreografia
4,Dangerous,1991,14,32,0,4,In the Closet,1992,New Jack Swing,"4,00",6,8,14,Sim,—
4,Dangerous,1991,14,32,0,4,Heal the World,1992,Pop/R&B,"6,23",27,2,12,Sim,—
4,Dangerous,1991,14,32,0,4,Will You Be There,1993,Gospel/Pop,"3,82",18,9,12,Não,—
5,HIStory,1995,15,22,1,1,Scream,1995,New Jack Swing,"4,57",5,3,16,Sim,Grammy / Clipe mais caro da época
5,HIStory,1995,15,22,1,1,You Are Not Alone,1995,R&B/Soul,"4,02",1,1,16,Sim,1º single a estrear #1 Billboard
5,HIStory,1995,15,22,1,1,Earth Song,1995,Gospel/R&B,"6,45",—,1,—,Sim,BRIT Award Melhor Clipe | Não lançado nos EUA
5,HIStory,1995,15,22,1,1,They Don't Care About Us,1996,R&B/Hip-Hop,"4,47",30,4,10,Sim,2 versões (Brasil/EUA)
6,Invincible,2001,16,13,0,0,You Rock My World,2001,R&B/Pop,"5,37",10,2,12,Sim,—
6,Invincible,2001,16,13,0,0,Cry,2001,R&B/Soul,"4,97",25,25,8,Sim,—
